Phase,Feature ID,Feature Name,Task ID,Task Name,Description,Planned Start,Planned End,Weight,Feb %,Mar %,Apr %,May %,Jun %,Jul %,Aug %,Sep %,Oct %,Nov %,Dec %

PHASE 1,F1,Security Requirements Generation,,,,,,,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.1,OWASP/ASVS Framework Research,Map OWASP ASVS 4.0 chapters to actionable requirement categories; document taxonomy,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.2,Application Context Schema Design,Design input schema for tech stack / data sensitivity / compliance scope / deployment model,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.3,ASVS Requirement Mapping Engine,Build engine mapping ASVS chapters -> controls -> auto-generated requirements per context,Feb,Mar,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.4,AI Requirement Generation Pipeline,LLM pipeline that takes app context + ASVS mapping to produce prioritized security requirements,Mar,Mar,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.5,Requirement Prioritization Engine,Risk-based prioritization (data sensitivity x exposure x compliance) with MoSCoW output,Mar,Mar,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.6,JIRA Cloud OAuth Integration,OAuth 2.0 flow for Jira Cloud; token management; permission scoping,Mar,Apr,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.7,JIRA Issue Creation & Sync,Create epics/stories from requirements; bidirectional status sync; field mapping config,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.8,Azure DevOps OAuth Integration,OAuth flow for ADO; PAT fallback; org/project selection,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.9,Azure DevOps Work Item Sync,Create work items from requirements; area path mapping; state sync,Apr,May,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.10,Requirement Management UI,Dashboard showing generated requirements; edit/approve/reject workflow; bulk actions,Apr,May,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.11,Export Module (PDF/CSV/Markdown),Export requirements in multiple formats with traceability metadata,May,May,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.12,Integration Testing & QA,End-to-end testing of full flow: context input -> generation -> JIRA/ADO sync,May,May,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.13,Documentation & User Guide,User-facing docs; API reference; admin setup guide for JIRA/ADO,May,May,1,0,,,,,,,,,,,

PHASE 1,F2,Misuse / Abuse Case Generation,,,,,,,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.1,Abuse Case Taxonomy Research,Map CAPEC attack patterns + MITRE ATT&CK to abuse case templates; define severity model,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.2,Abuse Case Schema & Data Model,Design schema: actor profiles / attack steps / preconditions / impact / linked threats,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.3,Architecture Description NLP Parser,Parse free-text architecture descriptions into structured components / flows / trust boundaries,Feb,Mar,3,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.4,Threat Actor Profiling Module,Auto-generate relevant threat actor profiles (external attacker / insider / supply chain) per context,Mar,Mar,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.5,Abuse Case Generation AI Engine,LLM engine producing structured misuse cases from architecture + actor profiles,Mar,Mar,3,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.6,Acceptance Criteria Auto-Generation,Generate testable acceptance criteria per abuse case (Given/When/Then format),Mar,Apr,3,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.7,Abuse Case Visualization UI,Interactive attack tree / misuse case diagram visualization,Apr,Apr,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.8,Backlog Export (JIRA/ADO Format),Export abuse cases as stories/tasks with acceptance criteria to JIRA or ADO,Apr,Apr,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.9,Testing & QA,Validate generated cases against known attack libraries; accuracy benchmarking,Apr,Apr,1,0,,,,,,,,,,,

PHASE 1,F3,Security Acceptance Criteria,,,,,,,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.1,Risk-to-Criteria Mapping Taxonomy,Define mapping: risk categories -> security control families -> acceptance criteria templates,Mar,Mar,2,0,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.2,Threat-to-Criteria Mapping Engine,Auto-map identified threats to specific testable acceptance criteria,Mar,Mar,3,0,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.3,Criteria Template Library,200+ pre-built acceptance criteria templates organized by OWASP Top 10 / ASVS / CWE,Mar,Apr,2,0,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.4,BDD/Gherkin Format Generator,Output acceptance criteria in Given/When/Then BDD format for test automation,Apr,Apr,2,0,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.5,Backlog Integration Module,Attach criteria to JIRA stories / ADO work items; link to parent requirements,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.6,Criteria Management UI,Browse / filter / edit criteria; approve/reject workflow; bulk assignment,Apr,May,2,0,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.7,Traceability Matrix,Requirement -> Criteria -> Test case traceability view with coverage metrics,May,May,2,0,,,,,,,,,,,
PHASE 1,F3,Security Acceptance Criteria,1.3.8,Testing & QA,Validate criteria quality and mapping accuracy,May,May,1,0,,,,,,,,,,,

PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),,,,,,,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.1,Architecture Input Design,Support text descriptions + diagram upload (image-to-components via vision API),Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.2,Architecture NLP Parser & Component Extraction,Extract components / services / data stores / external systems from descriptions,Feb,Mar,3,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.3,Trust Boundary Auto-Identification,Identify trust boundaries between components (network / process / user privilege),Mar,Mar,2,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.4,L0 Threat Model Generator,System-level threat identification: external threats / high-level attack surfaces,Mar,Apr,3,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.5,L1 Threat Model Generator,Component-level threats: per-service STRIDE analysis with data flow context,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.6,STRIDE Mapping Engine,Automated STRIDE categorization with confidence scoring per threat,Apr,May,3,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.7,Mitigation Recommendation Engine,AI-generated mitigations mapped to NIST/OWASP controls per threat,May,May,3,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.8,Threat Model Visualization,Interactive DFD view with threat overlays; exportable diagrams (Eraser.io integration),May,May,2,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.9,Report Generation (PDF),Executive summary + detailed threat report with risk matrix and mitigation plan,May,Jun,2,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.10,Threat Model Versioning & Comparison,Version history with diff view showing new/removed/changed threats between iterations,Jun,Jun,2,0,,,,,,,,,,,
PHASE 1,F4,AI-Assisted Threat Modeling (L0 & L1),1.4.11,Integration Testing & QA,Test against reference architectures; validate STRIDE completeness,Jun,Jun,1,0,,,,,,,,,,,

PHASE 1,F5,Commit Scanner,,,,,,,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.1,Secret Detection Pattern Library,300+ patterns for API keys / tokens / passwords / certificates across 50+ services,Mar,Mar,2,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.2,Entropy + Regex Detection Engine,Hybrid detection: regex patterns + Shannon entropy for unknown secret formats,Mar,Mar,3,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.3,GitHub Webhook Real-time Scanning,GitHub App webhook for push events; real-time commit diff scanning,Mar,Apr,3,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.4,GitLab Webhook Integration,GitLab webhook for push events with similar real-time scanning,Apr,Apr,2,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.5,Historical Full-Repo Scan,Scan entire git history for pre-existing secrets; progress tracking for large repos,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.6,False Positive Reduction Engine,Context-aware filtering: test files / example configs / documentation exclusion,Apr,May,2,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.7,Remediation Guidance Generator,Per-secret-type remediation steps: rotation instructions + prevention config,May,May,2,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.8,Alerting System (Email / Slack / Teams),Configurable alert channels with severity-based routing,May,May,2,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.9,Scanner Dashboard & Metrics,Scan history / secret trends / developer leaderboard / SLA tracking,May,May,2,0,,,,,,,,,,,
PHASE 1,F5,Commit Scanner,1.5.10,Testing & QA,Test against known secret corpuses; false positive rate benchmarking,May,May,1,0,,,,,,,,,,,

PHASE 1,F6,Pipeline Policy-as-Code Validator,,,,,,,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.1,Policy Definition Schema (YAML),Design YAML-based policy language for AppSec pipeline requirements,Apr,Apr,2,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.2,GitHub Actions Pipeline Parser,Parse GitHub Actions YAML; extract steps / actions / security tool invocations,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.3,Jenkins Pipeline Parser,Parse Jenkinsfile (declarative + scripted); extract stages and tool calls,Apr,May,2,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.4,GitLab CI Pipeline Parser,Parse .gitlab-ci.yml; extract stages / jobs / security scanning steps,May,May,2,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.5,Azure Pipelines Parser,Parse azure-pipelines.yml; extract tasks and security gates,May,May,2,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.6,AppSec Control Validation Rules,Rule engine checking: SAST present? SCA present? Secrets scan? DAST gate? Image scan?,May,May,3,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.7,Compliance Checker,Evaluate pipeline against policy; produce pass/fail/warning per control,May,Jun,3,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.8,AI Corrective Step Suggestions,LLM-generated pipeline fix suggestions with diff preview,Jun,Jun,2,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.9,Policy Management UI,Create / edit / version policies; assign to repos/orgs; view compliance status,Jun,Jun,2,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.10,Compliance Dashboard & Reporting,Org-wide compliance overview; per-repo policy adherence; trend charts,Jun,Jun,2,0,,,,,,,,,,,
PHASE 1,F6,Pipeline Policy-as-Code Validator,1.6.11,Testing & QA,Test against real-world pipelines from open-source projects,Jun,Jun,1,0,,,,,,,,,,,

PHASE 1,F7,VS Code Plugin (Initial Version),,,,,,,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.1,Extension Scaffolding & Architecture,VS Code extension project setup; activation events; command palette registration,Apr,Apr,2,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.2,Python Language Support,Security analysis for Python: SQL injection / command injection / crypto misuse,Apr,May,3,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.3,JavaScript/TypeScript Language Support,Security analysis for JS/TS: XSS / prototype pollution / insecure dependencies,May,May,3,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.4,Inline Security Hint Engine,VS Code Diagnostics API integration; squiggly underlines with hover explanations,May,May,3,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.5,Basic Remediation Suggestions,CodeAction provider with quick-fix suggestions for common vulnerabilities,May,Jun,2,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.6,Settings & Configuration Panel,Extension settings: severity thresholds / language toggles / API connection,Jun,Jun,1,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.7,Backend Authentication & Connection,OAuth/token-based auth to SecureDev AI backend; connection health indicator,Jun,Jun,2,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.8,VS Code Marketplace Packaging,Package .vsix; marketplace listing; icon / README / changelog,Jun,Jun,1,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.9,Beta Testing & Feedback,Internal beta with 10+ developers; structured feedback collection,Jun,Jun,2,0,,,,,,,,,,,
PHASE 1,F7,VS Code Plugin (Initial Version),1.7.10,Documentation & Quick Start Guide,Getting started guide; feature walkthrough; troubleshooting FAQ,Jun,Jun,1,0,,,,,,,,,,,

PHASE 2,F8,Full AI Threat Modeling,,,,,,,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.1,Deep Architecture Analysis Engine,Multi-tier / microservices / serverless architecture understanding with auto-component discovery,Jul,Jul,3,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.2,Automated Dataflow Modeling,Auto-generate data flow diagrams from architecture descriptions + code analysis,Jul,Aug,3,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.3,Data Classification & Sensitivity Analysis,Auto-classify data types (PII / PHI / financial / credentials) and sensitivity levels,Aug,Aug,2,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.4,Design Flaw Detection Engine,Identify architectural anti-patterns: missing auth layers / unencrypted channels / single points of failure,Aug,Sep,3,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.5,Layered STRIDE Mapping (L0/L1/L2),Three-level STRIDE: system -> component -> data-flow with inheritance and rollup,Sep,Sep,3,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.6,L2 Threat Model (Data-Flow Level),Granular threats per data flow: injection points / auth bypass / data leakage,Sep,Sep,3,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.7,Threat Chaining & Attack Path Analysis,Multi-step attack path identification: chain threats across components into kill chains,Sep,Oct,3,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.8,Control Gap Analysis Engine,Map existing controls to threats; identify gaps; prioritize remediation,Oct,Oct,2,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.9,Interactive Threat Model Editor,Drag-and-drop DFD editor with real-time threat re-analysis on changes,Oct,Oct,3,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.10,Compliance Mapping (NIST/ISO/PCI),Map threats and controls to NIST 800-53 / ISO 27001 / PCI DSS / SOC 2,Oct,Nov,2,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.11,Threat Model Diff & Change Impact,Compare versions; highlight new attack surfaces from architecture changes,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F8,Full AI Threat Modeling,2.1.12,Integration Testing & QA,Benchmark against OWASP Threat Modeling Playbook reference architectures,Nov,Nov,1,0,,,,,,,,,,,

PHASE 2,F9,Secure Development Intelligence,,,,,,,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.1,Unified Multi-Language SAST Engine,Support 10+ languages with unified finding format; custom rule SDK,Jul,Aug,3,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.2,SCA Scanner with Vuln Correlation,Dependency scanning with NVD/OSV/GitHub Advisory correlation; reachability analysis,Aug,Aug,3,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.3,Enterprise Secrets Scanning,Scale to 1000+ repos; incremental scanning; pre-commit hook distribution,Aug,Sep,3,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.4,AI-Powered Custom Rule Generation,Generate SAST rules from vulnerability descriptions or CVE reports,Sep,Sep,3,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.5,Commit Scanning at Scale,Parallel commit analysis across org; queue management; rate limiting,Sep,Oct,3,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.6,Automated Remediation PR Generation,Auto-generate fix PRs for known vulnerability patterns with test validation,Oct,Oct,3,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.7,Developer Security Scorecard,Per-developer security metrics: fix rate / introduction rate / response time,Oct,Nov,2,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.8,Security Metrics & Trend Dashboards,Org-wide: MTTR / vulnerability density / fix velocity / security debt trending,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.9,Scan Orchestration & Scheduling,Cron-based / event-driven scan scheduling; priority queues; resource management,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.10,Finding Dedup & Correlation Engine,Cross-scanner deduplication; correlate SAST + SCA + secrets findings per component,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F9,Secure Development Intelligence,2.2.11,Testing & QA,Benchmark against OWASP Benchmark; false positive rate < 15% target,Nov,Nov,1,0,,,,,,,,,,,

PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),,,,,,,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.1,Org-Wide Policy Management & Inheritance,Hierarchical policies: org -> team -> repo with override/merge semantics,Aug,Aug,3,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.2,Pipeline Auto-Correction Engine,AI-generated pipeline patches to add missing security controls; PR-based workflow,Aug,Sep,3,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.3,SBOM Generation Enforcement,Require SBOM generation (CycloneDX/SPDX) in pipeline; validate completeness,Sep,Sep,2,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.4,Provenance Verification Engine,SLSA provenance verification; build attestation validation,Sep,Oct,3,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.5,Artifact Signature Enforcement,Require Sigstore/Cosign signatures on container images and artifacts,Oct,Oct,2,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.6,Policy Violation Alerting & Escalation,Real-time alerts on policy violations; escalation chains; SLA tracking,Oct,Oct,2,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.7,Compliance Reporting Dashboard,SOC 2 / ISO 27001 / NIST SSDF evidence generation from pipeline data,Oct,Nov,2,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.8,Policy Versioning & Rollback,Git-backed policy versioning; rollback capability; change audit log,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.9,Exception Management Workflow,Request/approve/expire exception workflow for policy waivers,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F10,Pipeline Policy-as-Code Enforcement (Advanced),2.3.10,Testing & QA,Test across 100+ real-world pipeline configurations,Nov,Nov,1,0,,,,,,,,,,,

PHASE 2,F11,AI-Driven Inventory & SBOM Platform,,,,,,,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.1,Agent-Based Application Discovery,Lightweight agent scanning org repos for tech stacks / frameworks / services,Sep,Sep,3,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.2,Automated SBOM Generation,Generate CycloneDX + SPDX SBOMs from source code / manifests / container images,Sep,Oct,3,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.3,Dependency Health Scoring,Score based on: maintenance activity / known vulns / license risk / age / popularity,Oct,Oct,3,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.4,Vulnerability Correlation Engine,Cross-reference deps against NVD / OSV / GitHub Advisory / vendor feeds,Oct,Nov,3,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.5,License Tracking & Compliance,Detect license types; flag copyleft conflicts; generate license compliance reports,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.6,Dependency Graph Visualization,Interactive dependency tree with vulnerability / license risk overlays,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.7,Risk-Based Vulnerability Prioritization,EPSS + reachability + exploit maturity + business context scoring,Nov,Dec,2,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.8,Inventory Management Dashboard,Unified app catalog: tech stack / owner / risk score / SBOM freshness,Dec,Dec,2,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.9,Automated Update Recommendation,AI-suggested dependency updates with breaking change risk assessment,Dec,Dec,2,0,,,,,,,,,,,
PHASE 2,F11,AI-Driven Inventory & SBOM Platform,2.4.10,Testing & QA,Validate against known vulnerable dependency sets,Dec,Dec,1,0,,,,,,,,,,,

PHASE 2,F12,Advanced VS Code IDE Plugin (V2),,,,,,,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.1,Extended Language Support,Add Java / Go / C# / Ruby / PHP / Kotlin security analysis,Sep,Oct,3,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.2,Real-Time AI Remediation Engine,Context-aware fix generation using LLM with codebase understanding,Oct,Oct,3,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.3,Intelligent Code Analysis,Semantic code understanding: taint tracking / data flow in IDE,Oct,Nov,3,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.4,Risk Profile Integration,Show project risk score / recent findings / security posture in sidebar,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.5,Inline Threat Context Overlay,Show relevant threats from threat model mapped to code being edited,Nov,Nov,2,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.6,AI Code Review Assistant,Pre-commit security review: summarize risks / suggest fixes before push,Nov,Dec,3,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.7,Team Security Metrics Widget,VS Code panel showing team fix rate / open vulns / security score,Dec,Dec,1,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.8,One-Click Auto-Fix,Apply AI-generated fixes with single click; preview diff before applying,Dec,Dec,2,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.9,Marketplace V2 Publishing,Update marketplace listing; migration guide for V1 users,Dec,Dec,1,0,,,,,,,,,,,
PHASE 2,F12,Advanced VS Code IDE Plugin (V2),2.5.10,Testing & QA,Cross-language testing; performance benchmarking (< 500ms analysis time),Dec,Dec,1,0,,,,,,,,,,,
